ID;X;Y;CATEGORY;NAME;WWW
1106;1202571;7182448;COM;Foto Atelier Poppke;http://www.foto-poppke.de
1107;1146728;7152920;COM;expert MegaLand;
1108;1146118;7150356;COM;O 2 Partner-Shop;
1109;1146145;7150173;COM;Vodafone Shop Bad Segeberg Vodafone Shops Hamburg GmbH / Premium Store;
1110;1153823;7126089;COM;BASE Shop Bad Oldesloe;
1111;1128485;7221302;COM;IRMAK Telecom GmbH & Co. KG;
1112;1109744;7124972;COM;T-Partner Shop;
1113;1049180;7311897;COM;BASE Shop Flensburg;
1114;1073434;7115558;COM;Vodafone Shop Elmshorn C + S Telekommunikation Brodersen oHG;
1115;1048100;7122382;COM;expert Meiners;
1116;1009956;7255116;COM;Euronics;
1117;913956;7002398;COM;Foto und Bilderwerk;http://www.bilderwerk@org
1118;908981;7004492;COM;O 2 Partner-Shop;
1119;831376;7016076;COM;Bening GmbH & Co. KG;
1120;829560;7017996;COM;Telekom Shop Leer;http://www.telekomshop.de
1121;1026476;6996650;COM;Foto Kolb;
1122;967667;7136209;COM;o2 Premium Partner Cuxhaven 1 Steiner Consulting GmbH;
1123;954082;7076051;COM;O 2 Partner-Shop;
1124;955639;7074215;COM;Flash Light Fotostudio;
1125;979037;6989518;COM;BASE Shop Bremen;
1126;983362;6983679;COM;Bremen Habenhausen;
1127;990037;7000995;COM;Fotohaus in Lilienthal;
1128;1121434;6905886;COM;MCN-Mobilfunk Celle Nord Oliver Oehlschläger;
1129;1065997;6949766;COM;expert Haack;
1130;1082306;6860562;COM;BASE Quality Partner Hannover;
1131;1082596;6860842;COM;TOBI GmbH TOBI CITY SHOP;
1132;1082987;6860886;COM;BASE Shop Hannover;
1133;1082934;6861518;COM;BASE Shop Hannover;
1134;1082408;6866440;COM;Hannover-Vahrenheide;http://www.mediamarkt.de/mcs/marketinfo/Media-Markt-Hannover-Vahrenheide,77357,-3.html
1135;1068781;6871808;COM;Foto Video Elsenbach;
1136;1082965;6872286;COM;RINGFOTO Biering;http://www.fotobiering.de
1137;1091077;6848246;COM;Mobil Punkt Laatzen -Shopleiter-;
1138;1093870;6869322;COM;SATURN;http://www.saturn.de/webapp/wcs/stores/servlet/MultiChannelAllStores?storeId=13801&langId=-3
1139;1105554;6815439;COM;Foto Erhardt im HIT-Markt;
